DATE,CITY,TEMP,PRCP,WDSP
2023-01-11,Mumbai,26.3,0.0,10.0
2023-01-11,Delhi,27.7,0.0,20.1
2023-01-11,Dehradun,17.1,0.0,12.4
2023-01-11,Jodhpur,29.2,0.0,12.6
2023-01-12,Mumbai,27.5,0.0,11.0
2023-01-12,Delhi,25.3,0.0,6.1
2023-01-12,Dehradun,21.5,0.0,6.4
2023-01-12,Jodhpur,29.5,2.1,12.8
2023-01-13,Mumbai,26.5,0.0,6.7
2023-01-13,Delhi,24.8,2.0,9.3
2023-01-13,Dehradun,25.5,0.0,8.6
2023-01-13,Jodhpur,26.1,0.0,11.5
2023-01-14,Mumbai,26.8,6.6,10.6
2023-01-14,Delhi,23.3,0.8,5.8
2023-01-14,Dehradun,21.4,0.0,8.6
2023-01-14,Jodhpur,28.5,0.3,6.7
2023-01-15,Mumbai,27.7,0.0,10.0
2023-01-15,Delhi,22.2,3.3,6.5
2023-01-15,Dehradun,20.0,0.0,11.1
2023-01-15,Jodhpur,30.7,0.0,11.6
2023-01-16,Mumbai,24.7,0.0,5.8
2023-01-16,Delhi,24.9,0.0,7.1
2023-01-16,Dehradun,19.2,0.0,8.5
2023-01-16,Jodhpur,26.2,0.0,7.5
2023-01-17,Mumbai,28.1,0.0,6.0
2023-01-17,Delhi,29.8,0.0,15.7
2023-01-17,Dehradun,20.0,0.0,9.6
2023-01-17,Jodhpur,27.1,0.0,5.6
2023-01-18,Mumbai,25.5,0.0,14.7
2023-01-18,Delhi,25.6,0.0,5.7
2023-01-18,Dehradun,20.8,0.0,14.7
2023-01-18,Jodhpur,26.5,0.0,6.0
2023-01-19,Mumbai,26.5,0.0,15.9
2023-01-19,Delhi,22.4,0.0,8.1
2023-01-19,Dehradun,23.1,0.0,13.1
2023-01-19,Jodhpur,28.1,2.1,18.8
2023-01-20,Mumbai,27.4,0.0,7.0
2023-01-20,Delhi,25.2,0.0,10.4
2023-01-20,Dehradun,24.3,1.0,7.2
2023-01-20,Jodhpur,28.4,0.0,7.0
2023-01-21,Mumbai,28.7,0.0,11.2
2023-01-21,Delhi,25.6,0.7,10.0
2023-01-21,Dehradun,18.6,1.1,12.8
2023-01-21,Jodhpur,26.8,3.9,14.2
2023-01-22,Mumbai,26.1,0.0,8.4
2023-01-22,Delhi,26.9,0.0,7.8
2023-01-22,Dehradun,21.7,0.2,9.2
2023-01-22,Jodhpur,27.7,0.0,6.6
2023-01-23,Mumbai,31.2,0.0,12.3
2023-01-23,Delhi,26.6,0.0,8.3
2023-01-23,Dehradun,18.2,0.0,11.5
2023-01-23,Jodhpur,27.7,0.0,9.5
2023-01-24,Mumbai,25.9,0.0,9.0
2023-01-24,Delhi,24.0,2.4,12.3
2023-01-24,Dehradun,19.0,2.8,6.8
2023-01-24,Jodhpur,27.6,0.0,11.1
2023-01-25,Mumbai,26.7,0.0,8.3
2023-01-25,Delhi,24.4,0.0,9.2
2023-01-25,Dehradun,18.3,0.0,8.1
2023-01-25,Jodhpur,28.8,0.5,8.5
2023-01-26,Mumbai,29.0,0.0,9.7
2023-01-26,Delhi,25.1,0.0,7.3
2023-01-26,Dehradun,23.7,0.0,8.1
2023-01-26,Jodhpur,30.0,0.0,7.9
2023-01-27,Mumbai,24.3,0.0,5.4
2023-01-27,Delhi,25.7,0.0,10.6
2023-01-27,Dehradun,23.0,4.0,12.4
2023-01-27,Jodhpur,27.1,0.0,13.2
2023-01-28,Mumbai,26.8,0.0,12.7
2023-01-28,Delhi,25.0,0.0,8.5
2023-01-28,Dehradun,19.1,0.0,10.2
2023-01-28,Jodhpur,28.2,0.0,9.8
2023-01-29,Mumbai,23.9,0.0,12.8
2023-01-29,Delhi,28.1,0.0,8.6
2023-01-29,Dehradun,24.1,1.0,15.2
2023-01-29,Jodhpur,31.0,0.0,11.2
2023-01-30,Mumbai,23.5,0.0,13.6
2023-01-30,Delhi,25.4,0.0,5.3
2023-01-30,Dehradun,22.0,0.3,9.3
2023-01-30,Jodhpur,24.6,0.0,8.2
2023-01-31,Mumbai,22.9,0.0,8.1
2023-01-31,Delhi,25.7,0.0,6.4
2023-01-31,Dehradun,19.9,0.0,11.5
2023-01-31,Jodhpur,26.9,0.0,6.7
2023-02-01,Mumbai,29.3,0.0,6.3
2023-02-01,Delhi,36.4,0.0,8.4
2023-02-01,Dehradun,24.6,5.1,8.9
2023-02-01,Jodhpur,36.7,0.0,7.0
2023-02-02,Mumbai,28.4,0.0,6.1
2023-02-02,Delhi,31.2,0.0,5.3
2023-02-02,Dehradun,27.7,1.4,6.4
2023-02-02,Jodhpur,34.7,0.0,6.4
2023-02-03,Mumbai,28.0,0.0,5.8
2023-02-03,Delhi,31.2,0.0,6.2
2023-02-03,Dehradun,29.4,0.0,11.2
2023-02-03,Jodhpur,35.2,0.0,6.6
2023-02-04,Mumbai,27.4,0.0,7.9
2023-02-04,Delhi,34.4,0.0,5.9
2023-02-04,Dehradun,27.1,0.0,6.9
2023-02-04,Jodhpur,34.0,0.0,8.5
2023-02-05,Mumbai,27.8,0.2,9.4
2023-02-05,Delhi,32.3,0.6,9.8
2023-02-05,Dehradun,24.0,0.0,5.6
2023-02-05,Jodhpur,36.1,0.0,6.7
2023-02-06,Mumbai,25.9,0.0,9.0
2023-02-06,Delhi,30.7,0.0,8.2
2023-02-06,Dehradun,23.6,0.0,6.6
2023-02-06,Jodhpur,34.2,0.8,7.0
2023-02-07,Mumbai,31.0,0.0,6.8
2023-02-07,Delhi,37.4,0.0,8.8
2023-02-07,Dehradun,26.2,0.0,9.8
2023-02-07,Jodhpur,38.2,0.0,7.0
2023-02-08,Mumbai,30.7,0.0,9.9
2023-02-08,Delhi,34.6,0.0,7.7
2023-02-08,Dehradun,27.9,0.0,6.9
2023-02-08,Jodhpur,30.5,0.0,5.7
2023-02-09,Mumbai,29.5,0.0,11.2
2023-02-09,Delhi,32.7,0.0,8.8
2023-02-09,Dehradun,27.1,0.0,9.8
2023-02-09,Jodhpur,37.5,3.1,7.3
2023-02-10,Mumbai,27.8,0.0,8.5
2023-02-10,Delhi,31.5,0.8,12.9
2023-02-10,Dehradun,25.1,0.0,11.5
2023-02-10,Jodhpur,36.9,0.0,5.6
2023-02-11,Mumbai,30.1,0.0,8.8
2023-02-11,Delhi,34.2,0.0,8.8
2023-02-11,Dehradun,31.3,0.0,15.4
2023-02-11,Jodhpur,36.2,0.0,9.0
2023-02-12,Mumbai,27.2,0.0,8.8
2023-02-12,Delhi,32.7,0.0,20.1
2023-02-12,Dehradun,27.0,0.0,11.9
2023-02-12,Jodhpur,33.8,0.0,11.1
2023-02-13,Mumbai,24.9,0.0,12.8
2023-02-13,Delhi,30.9,0.0,6.2
2023-02-13,Dehradun,25.7,0.0,10.9
2023-02-13,Jodhpur,34.7,0.0,6.3
2023-02-14,Mumbai,30.5,0.0,6.7
2023-02-14,Delhi,32.2,0.0,6.9
2023-02-14,Dehradun,26.3,0.0,8.0
2023-02-14,Jodhpur,35.3,0.0,20.3
2023-02-15,Mumbai,27.3,0.0,13.4
2023-02-15,Delhi,27.2,0.0,6.1
2023-02-15,Dehradun,26.4,5.8,5.9
2023-02-15,Jodhpur,33.4,0.0,11.4
2023-02-16,Mumbai,32.0,0.0,10.6
2023-02-16,Delhi,30.2,0.0,7.2
2023-02-16,Dehradun,27.0,0.0,7.8
2023-02-16,Jodhpur,34.3,3.5,14.6
2023-02-17,Mumbai,27.5,0.0,5.6
2023-02-17,Delhi,36.0,0.8,6.8
2023-02-17,Dehradun,23.2,0.0,6.0
2023-02-17,Jodhpur,38.5,0.0,8.9
2023-02-18,Mumbai,29.3,0.0,8.2
2023-02-18,Delhi,34.7,0.0,7.5
2023-02-18,Dehradun,25.9,0.0,5.9
2023-02-18,Jodhpur,36.5,8.3,6.0
2023-02-19,Mumbai,29.7,0.0,5.6
2023-02-19,Delhi,33.6,0.0,7.3
2023-02-19,Dehradun,27.1,0.0,14.5
2023-02-19,Jodhpur,38.1,0.0,7.9
2023-02-20,Mumbai,31.1,0.0,7.5
2023-02-20,Delhi,32.9,0.0,5.7
2023-02-20,Dehradun,24.4,0.0,10.0
2023-02-20,Jodhpur,31.5,0.0,8.6
2023-02-21,Mumbai,29.9,0.0,10.2
2023-02-21,Delhi,29.5,0.0,5.6
2023-02-21,Dehradun,28.0,0.0,8.8
2023-02-21,Jodhpur,34.3,0.0,5.7
2023-02-22,Mumbai,28.7,0.0,6.2
2023-02-22,Delhi,34.4,0.0,6.0
2023-02-22,Dehradun,25.5,2.6,10.0
2023-02-22,Jodhpur,37.2,0.6,8.2
2023-02-23,Mumbai,31.1,0.0,8.7
2023-02-23,Delhi,33.4,5.8,7.8
2023-02-23,Dehradun,26.1,0.0,8.4
2023-02-23,Jodhpur,35.2,0.0,7.3
2023-02-24,Mumbai,29.9,0.0,7.2
2023-02-24,Delhi,32.1,0.0,7.3
2023-02-24,Dehradun,28.1,1.9,5.8
2023-02-24,Jodhpur,36.4,0.0,8.5
2023-02-25,Mumbai,31.9,0.0,6.9
2023-02-25,Delhi,34.3,2.9,9.2
2023-02-25,Dehradun,29.2,0.0,7.2
2023-02-25,Jodhpur,32.3,0.0,6.5
2023-02-26,Mumbai,29.4,0.0,9.0
2023-02-26,Delhi,34.5,1.3,7.8
2023-02-26,Dehradun,28.3,0.0,14.5
2023-02-26,Jodhpur,34.0,0.0,7.0
2023-02-27,Mumbai,28.5,4.3,7.9
2023-02-27,Delhi,35.3,0.0,7.1
2023-02-27,Dehradun,24.9,0.0,10.2
2023-02-27,Jodhpur,38.1,0.0,15.5
2023-02-28,Mumbai,28.3,6.2,7.4
2023-02-28,Delhi,33.6,0.0,12.0
2023-02-28,Dehradun,22.5,0.0,6.0
2023-02-28,Jodhpur,33.3,0.0,8.3
2023-03-01,Mumbai,24.4,0.0,6.6
2023-03-01,Delhi,40.6,0.0,6.2
2023-03-01,Dehradun,30.9,0.0,9.2
2023-03-01,Jodhpur,40.9,2.4,10.5
2023-03-02,Mumbai,34.1,0.0,10.3
2023-03-02,Delhi,37.7,0.0,8.7
2023-03-02,Dehradun,31.1,1.4,7.4
2023-03-02,Jodhpur,41.8,2.0,5.8
2023-03-03,Mumbai,32.6,0.0,17.6
2023-03-03,Delhi,38.5,0.8,14.3
2023-03-03,Dehradun,30.7,0.0,9.5
2023-03-03,Jodhpur,39.4,0.0,8.8
2023-03-04,Mumbai,30.4,7.3,8.7
2023-03-04,Delhi,36.9,0.0,9.4
2023-03-04,Dehradun,33.5,0.0,8.2
2023-03-04,Jodhpur,37.2,0.0,6.3
2023-03-05,Mumbai,32.7,0.0,6.0
2023-03-05,Delhi,39.7,0.0,10.3
2023-03-05,Dehradun,30.2,0.0,6.8
2023-03-05,Jodhpur,39.6,0.0,9.3
2023-03-06,Mumbai,28.8,1.3,13.6
2023-03-06,Delhi,38.5,0.0,7.8
2023-03-06,Dehradun,31.3,0.0,10.2
2023-03-06,Jodhpur,42.6,0.0,9.8
2023-03-07,Mumbai,32.1,0.0,6.7
2023-03-07,Delhi,36.5,0.0,8.3
2023-03-07,Dehradun,29.1,0.0,11.6
2023-03-07,Jodhpur,39.8,0.0,6.9
2023-03-08,Mumbai,33.4,3.0,6.2
2023-03-08,Delhi,36.1,0.0,8.2
2023-03-08,Dehradun,30.4,0.0,6.1
2023-03-08,Jodhpur,39.7,0.0,8.4
2023-03-09,Mumbai,30.8,0.0,6.9
2023-03-09,Delhi,36.0,0.0,7.7
2023-03-09,Dehradun,29.2,0.0,10.0
2023-03-09,Jodhpur,42.9,0.0,11.3
2023-03-10,Mumbai,31.4,0.0,6.9
2023-03-10,Delhi,39.8,0.0,10.3
2023-03-10,Dehradun,33.0,0.0,8.9
2023-03-10,Jodhpur,43.6,0.0,8.9
2023-03-11,Mumbai,30.0,0.5,7.2
2023-03-11,Delhi,35.9,0.0,7.1
2023-03-11,Dehradun,36.3,0.0,8.1
2023-03-11,Jodhpur,37.9,0.0,10.0
2023-03-12,Mumbai,33.5,0.0,8.1
2023-03-12,Delhi,34.3,0.0,6.5
2023-03-12,Dehradun,27.3,0.0,16.6
2023-03-12,Jodhpur,36.9,0.0,7.1
2023-03-13,Mumbai,32.4,0.0,6.0
2023-03-13,Delhi,38.8,0.4,6.9
2023-03-13,Dehradun,30.3,0.0,12.4
2023-03-13,Jodhpur,41.7,0.0,7.5
2023-03-14,Mumbai,29.1,0.0,6.0
2023-03-14,Delhi,40.3,0.0,8.2
2023-03-14,Dehradun,31.3,0.0,8.5
2023-03-14,Jodhpur,37.6,1.1,10.3
2023-03-15,Mumbai,28.5,0.0,11.0
2023-03-15,Delhi,40.4,3.3,11.8
2023-03-15,Dehradun,30.9,0.0,8.2
2023-03-15,Jodhpur,40.0,0.1,8.0
2023-03-16,Mumbai,29.3,0.0,7.0
2023-03-16,Delhi,38.0,6.7,11.3
2023-03-16,Dehradun,31.1,0.0,17.2
2023-03-16,Jodhpur,39.8,0.0,12.1
2023-03-17,Mumbai,29.3,0.0,7.0
2023-03-17,Delhi,41.8,0.0,11.1
2023-03-17,Dehradun,31.4,0.0,19.2
2023-03-17,Jodhpur,40.0,0.0,12.1
2023-03-18,Mumbai,33.7,0.0,14.6
2023-03-18,Delhi,35.7,0.0,8.2
2023-03-18,Dehradun,31.0,0.0,14.5
2023-03-18,Jodhpur,41.0,0.0,12.4
2023-03-19,Mumbai,28.9,0.0,7.6
2023-03-19,Delhi,40.7,0.0,7.9
2023-03-19,Dehradun,30.4,0.0,14.4
2023-03-19,Jodhpur,38.4,0.0,6.9
2023-03-20,Mumbai,28.7,0.0,14.6
2023-03-20,Delhi,40.0,0.0,11.6
2023-03-20,Dehradun,29.7,0.0,5.9
2023-03-20,Jodhpur,36.8,0.0,13.3
2023-03-21,Mumbai,32.5,0.0,10.7
2023-03-21,Delhi,38.6,0.1,7.9
2023-03-21,Dehradun,31.5,0.0,6.6
2023-03-21,Jodhpur,38.2,1.5,11.3
2023-03-22,Mumbai,28.2,0.0,6.4
2023-03-22,Delhi,37.5,0.0,8.6
2023-03-22,Dehradun,27.7,0.0,9.6
2023-03-22,Jodhpur,40.6,0.0,13.2
2023-03-23,Mumbai,31.6,4.3,9.9
2023-03-23,Delhi,39.0,0.0,6.0
2023-03-23,Dehradun,29.8,0.0,10.7
2023-03-23,Jodhpur,41.7,0.0,7.1
2023-03-24,Mumbai,31.8,0.0,6.7
2023-03-24,Delhi,39.0,0.5,6.8
2023-03-24,Dehradun,30.5,0.0,8.0
2023-03-24,Jodhpur,39.0,0.0,5.9
2023-03-25,Mumbai,29.7,0.0,14.6
2023-03-25,Delhi,39.1,0.0,14.6
2023-03-25,Dehradun,29.2,0.0,6.3
2023-03-25,Jodhpur,40.2,0.0,6.7
2023-03-26,Mumbai,31.8,2.1,5.7
2023-03-26,Delhi,35.6,0.0,10.5
2023-03-26,Dehradun,34.3,0.0,8.6
2023-03-26,Jodhpur,38.8,0.0,6.4
2023-03-27,Mumbai,32.6,0.0,14.3
2023-03-27,Delhi,37.4,0.0,7.1
2023-03-27,Dehradun,27.6,5.2,12.5
2023-03-27,Jodhpur,40.4,0.0,8.9
2023-03-28,Mumbai,30.7,3.0,6.3
2023-03-28,Delhi,36.2,0.0,8.6
2023-03-28,Dehradun,31.8,0.0,17.6
2023-03-28,Jodhpur,37.9,1.4,8.5
2023-03-29,Mumbai,31.1,4.1,10.0
2023-03-29,Delhi,39.2,0.0,6.1
2023-03-29,Dehradun,29.7,0.0,8.5
2023-03-29,Jodhpur,40.5,0.0,19.6
2023-03-30,Mumbai,30.7,0.0,5.1
2023-03-30,Delhi,38.1,0.0,9.8
2023-03-30,Dehradun,30.5,0.0,5.1
2023-03-30,Jodhpur,40.7,0.0,9.9
2023-03-31,Mumbai,28.8,0.0,6.9
2023-03-31,Delhi,37.9,0.0,7.1
2023-03-31,Dehradun,29.6,0.0,9.2
2023-03-31,Jodhpur,38.9,0.0,5.7
2023-04-01,Mumbai,33.8,0.0,6.3
2023-04-01,Delhi,39.6,0.0,7.2
2023-04-01,Dehradun,29.7,2.6,7.1
2023-04-01,Jodhpur,36.8,0.0,7.1
2023-04-02,Mumbai,32.8,0.0,8.3
2023-04-02,Delhi,41.2,0.0,12.5
2023-04-02,Dehradun,31.7,0.0,7.3
2023-04-02,Jodhpur,40.2,0.0,5.9
2023-04-03,Mumbai,28.8,0.0,6.9
2023-04-03,Delhi,42.1,0.0,10.4
2023-04-03,Dehradun,31.0,1.2,13.5
2023-04-03,Jodhpur,44.4,0.0,6.9
2023-04-04,Mumbai,32.3,0.0,8.6
2023-04-04,Delhi,43.4,0.0,9.0
2023-04-04,Dehradun,31.1,0.0,6.7
2023-04-04,Jodhpur,44.6,0.0,10.4
2023-04-05,Mumbai,34.3,0.0,9.1
2023-04-05,Delhi,38.6,0.0,10.2
2023-04-05,Dehradun,34.6,0.0,9.1
2023-04-05,Jodhpur,40.1,0.0,7.0
2023-04-06,Mumbai,32.1,0.0,13.7
2023-04-06,Delhi,43.6,2.1,7.5
2023-04-06,Dehradun,30.3,0.0,6.3
2023-04-06,Jodhpur,38.1,0.0,7.8
2023-04-07,Mumbai,31.4,0.0,11.1
2023-04-07,Delhi,38.8,5.0,11.0
2023-04-07,Dehradun,30.4,2.6,10.4
2023-04-07,Jodhpur,44.3,0.0,9.5
2023-04-08,Mumbai,30.7,0.0,12.7
2023-04-08,Delhi,40.0,0.0,9.0
2023-04-08,Dehradun,37.2,0.0,10.7
2023-04-08,Jodhpur,42.8,0.0,8.0
2023-04-09,Mumbai,29.6,0.0,7.8
2023-04-09,Delhi,38.3,0.0,14.8
2023-04-09,Dehradun,32.8,0.0,12.5
2023-04-09,Jodhpur,40.8,0.0,6.7
2023-04-10,Mumbai,33.3,0.0,6.5
2023-04-10,Delhi,39.1,11.2,6.6
2023-04-10,Dehradun,27.8,1.8,5.8
2023-04-10,Jodhpur,38.5,0.0,5.7
2023-04-11,Mumbai,34.5,0.0,7.1
2023-04-11,Delhi,45.1,0.0,14.1
2023-04-11,Dehradun,36.0,0.0,11.7
2023-04-11,Jodhpur,43.2,1.4,12.1
2023-04-12,Mumbai,30.7,0.0,5.1
2023-04-12,Delhi,41.6,0.0,6.6
2023-04-12,Dehradun,31.7,0.0,8.8
2023-04-12,Jodhpur,43.2,0.0,7.5
2023-04-13,Mumbai,32.5,1.0,16.0
2023-04-13,Delhi,43.1,0.0,8.7
2023-04-13,Dehradun,28.5,0.6,11.8
2023-04-13,Jodhpur,41.6,0.0,7.9
2023-04-14,Mumbai,34.8,0.0,8.9
2023-04-14,Delhi,39.2,0.0,11.2
2023-04-14,Dehradun,33.6,0.0,9.5
2023-04-14,Jodhpur,40.9,0.1,8.1
2023-04-15,Mumbai,31.6,0.0,7.8
2023-04-15,Delhi,40.7,0.0,13.9
2023-04-15,Dehradun,31.5,0.0,5.2
2023-04-15,Jodhpur,43.8,0.0,9.0
2023-04-16,Mumbai,32.2,0.1,5.7
2023-04-16,Delhi,38.9,0.6,6.2
2023-04-16,Dehradun,33.1,0.0,8.5
2023-04-16,Jodhpur,42.7,0.0,7.3
2023-04-17,Mumbai,30.9,1.6,6.3
2023-04-17,Delhi,40.1,0.0,8.8
2023-04-17,Dehradun,31.3,0.0,6.3
2023-04-17,Jodhpur,36.2,3.8,7.3
2023-04-18,Mumbai,36.0,0.0,6.8
2023-04-18,Delhi,40.1,1.2,6.9
2023-04-18,Dehradun,30.4,0.0,8.7
2023-04-18,Jodhpur,45.2,4.2,7.5
2023-04-19,Mumbai,33.0,3.0,11.2
2023-04-19,Delhi,39.8,0.0,9.2
2023-04-19,Dehradun,30.5,0.0,8.6
2023-04-19,Jodhpur,39.1,0.0,15.9
2023-04-20,Mumbai,34.2,0.0,8.5
2023-04-20,Delhi,41.7,0.0,6.9
2023-04-20,Dehradun,34.1,0.6,7.1
2023-04-20,Jodhpur,41.0,0.0,7.8
2023-04-21,Mumbai,29.7,0.0,8.9
2023-04-21,Delhi,40.5,1.1,6.3
2023-04-21,Dehradun,32.9,0.0,12.4
2023-04-21,Jodhpur,47.2,0.2,6.7
2023-04-22,Mumbai,33.2,1.6,6.4
2023-04-22,Delhi,42.3,1.2,8.1
2023-04-22,Dehradun,27.5,0.0,10.0
2023-04-22,Jodhpur,40.3,0.0,7.1
2023-04-23,Mumbai,31.2,0.0,10.7
2023-04-23,Delhi,42.5,0.0,8.1
2023-04-23,Dehradun,34.5,0.0,9.4
2023-04-23,Jodhpur,40.4,0.0,7.4
2023-04-24,Mumbai,33.0,0.0,13.3
2023-04-24,Delhi,42.0,0.0,11.8
2023-04-24,Dehradun,29.4,2.9,10.3
2023-04-24,Jodhpur,44.2,2.2,6.4
2023-04-25,Mumbai,32.3,0.0,8.7
2023-04-25,Delhi,42.2,0.2,7.1
2023-04-25,Dehradun,31.8,0.7,7.3
2023-04-25,Jodhpur,43.5,0.0,11.2
2023-04-26,Mumbai,30.9,0.2,9.4
2023-04-26,Delhi,43.7,0.0,8.3
2023-04-26,Dehradun,31.4,0.0,6.3
2023-04-26,Jodhpur,39.9,0.0,11.4
2023-04-27,Mumbai,35.4,0.0,8.1
2023-04-27,Delhi,39.7,0.0,8.5
2023-04-27,Dehradun,34.3,1.8,9.1
2023-04-27,Jodhpur,43.3,1.7,5.1
2023-04-28,Mumbai,33.4,0.0,9.8
2023-04-28,Delhi,42.7,0.0,14.5
2023-04-28,Dehradun,34.6,0.0,8.5
2023-04-28,Jodhpur,38.8,0.0,7.9
2023-04-29,Mumbai,32.1,0.0,14.9
2023-04-29,Delhi,38.5,0.0,6.0
2023-04-29,Dehradun,31.1,0.8,6.8
2023-04-29,Jodhpur,42.9,0.0,6.0
2023-04-30,Mumbai,31.6,0.0,8.4
2023-04-30,Delhi,42.2,0.0,7.1
2023-04-30,Dehradun,32.8,0.0,7.9
2023-04-30,Jodhpur,40.2,0.0,9.1
2023-05-01,Mumbai,31.3,0.0,12.0
2023-05-01,Delhi,37.2,0.0,6.9
2023-05-01,Dehradun,32.1,0.0,7.9
2023-05-01,Jodhpur,42.0,3.4,7.1
2023-05-02,Mumbai,30.4,0.0,8.7
2023-05-02,Delhi,41.2,0.0,11.2
2023-05-02,Dehradun,26.1,0.0,6.8
2023-05-02,Jodhpur,39.9,0.0,8.5
2023-05-03,Mumbai,31.7,0.0,9.6
2023-05-03,Delhi,37.8,0.0,8.4
2023-05-03,Dehradun,32.3,0.0,9.1
2023-05-03,Jodhpur,37.8,0.0,8.6
2023-05-04,Mumbai,31.1,0.0,5.5
2023-05-04,Delhi,38.3,0.0,6.3
2023-05-04,Dehradun,32.3,0.0,9.6
2023-05-04,Jodhpur,37.7,0.0,11.3
2023-05-05,Mumbai,34.1,3.9,7.7
2023-05-05,Delhi,34.4,0.0,6.8
2023-05-05,Dehradun,33.6,0.0,10.8
2023-05-05,Jodhpur,39.6,0.0,6.1
2023-05-06,Mumbai,29.4,0.0,7.3
2023-05-06,Delhi,35.2,0.0,12.6
2023-05-06,Dehradun,32.6,0.0,6.1
2023-05-06,Jodhpur,43.9,0.0,7.3
2023-05-07,Mumbai,31.3,1.0,7.2
2023-05-07,Delhi,37.8,0.0,7.5
2023-05-07,Dehradun,29.9,0.0,14.4
2023-05-07,Jodhpur,41.5,0.0,7.5
2023-05-08,Mumbai,31.1,0.0,9.6
2023-05-08,Delhi,35.6,0.0,8.7
2023-05-08,Dehradun,31.7,0.0,9.8
2023-05-08,Jodhpur,38.5,0.0,7.0
2023-05-09,Mumbai,27.4,0.0,10.7
2023-05-09,Delhi,42.1,0.0,6.5
2023-05-09,Dehradun,32.6,0.0,16.4
2023-05-09,Jodhpur,39.2,0.0,8.1
2023-05-10,Mumbai,31.8,0.0,9.7
2023-05-10,Delhi,38.6,0.0,7.4
2023-05-10,Dehradun,31.6,0.3,7.5
2023-05-10,Jodhpur,40.1,1.8,9.4
2023-05-11,Mumbai,29.5,0.0,6.9
2023-05-11,Delhi,33.7,0.0,8.2
2023-05-11,Dehradun,31.0,0.0,10.0
2023-05-11,Jodhpur,40.3,0.0,7.9
2023-05-12,Mumbai,33.6,0.1,8.0
2023-05-12,Delhi,40.0,0.0,16.4
2023-05-12,Dehradun,29.9,0.0,7.4
2023-05-12,Jodhpur,38.6,0.7,11.4
2023-05-13,Mumbai,32.4,0.0,10.6
2023-05-13,Delhi,39.0,0.0,10.9
2023-05-13,Dehradun,31.9,0.0,9.3
2023-05-13,Jodhpur,42.3,0.0,7.9
2023-05-14,Mumbai,29.8,0.0,6.7
2023-05-14,Delhi,37.4,0.2,8.4
2023-05-14,Dehradun,31.6,0.0,13.7
2023-05-14,Jodhpur,40.1,0.0,7.9
2023-05-15,Mumbai,29.9,0.0,11.1
2023-05-15,Delhi,36.7,0.0,7.7
2023-05-15,Dehradun,31.7,0.0,8.5
2023-05-15,Jodhpur,40.2,0.0,6.6
2023-05-16,Mumbai,32.0,0.0,17.8
2023-05-16,Delhi,35.4,0.0,6.2
2023-05-16,Dehradun,32.0,3.3,11.9
2023-05-16,Jodhpur,45.6,0.0,8.3
2023-05-17,Mumbai,27.8,0.0,7.2
2023-05-17,Delhi,38.3,0.0,8.3
2023-05-17,Dehradun,30.4,0.0,7.6
2023-05-17,Jodhpur,40.4,0.0,10.9
2023-05-18,Mumbai,29.6,0.0,5.9
2023-05-18,Delhi,36.4,0.0,9.1
2023-05-18,Dehradun,30.8,0.9,8.2
2023-05-18,Jodhpur,44.1,0.0,9.9
2023-05-19,Mumbai,29.7,2.9,8.6
2023-05-19,Delhi,38.4,0.0,10.2
2023-05-19,Dehradun,32.8,0.0,8.3
2023-05-19,Jodhpur,41.3,0.0,7.1
2023-05-20,Mumbai,28.9,0.0,7.3
2023-05-20,Delhi,40.9,0.5,7.5
